2022-09-07_11-45-19 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-09-07_11-45-19 [restartedMain] INFO  c.t.user.AuthorizationApplication - Starting AuthorizationApplication using Java 16.0.2 on LTIN295918 with PID 40568 (C:\Users\905354\Documents\CDE_FSE_1\Code Base\Backend-AWS\User-Microservice\target\classes started by 905354 in C:\Users\905354\Documents\CDE_FSE_1\Code Base\Backend-AWS\User-Microservice)
2022-09-07_11-45-19 [restartedMain] INFO  c.t.user.AuthorizationApplication - No active profile set, falling back to 1 default profile: "default"
2022-09-07_11-45-19 [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\905354\.m2\repository\com\sun\xml\bind\jaxb-impl\2.3.0\jaxb-impl-2.3.0.jar referenced one or more files that do not exist: file:/C:/Users/905354/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-core.jar
2022-09-07_11-45-19 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-09-07_11-45-19 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-09-07_11-45-19 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-09-07_11-45-19 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78 ms. Found 1 MongoDB repository interfaces.
2022-09-07_11-45-19 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=254d4130-034c-3a20-ae44-9d6e5007ea53
2022-09-07_11-45-19 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 5000 (http)
2022-09-07_11-45-19 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5000"]
2022-09-07_11-45-19 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-09-07_11-45-19 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-09-07_11-45-19 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-07_11-45-19 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3607 ms
